Region,District
Arusha,Meru District Council 
Arusha,Arusha City Council 
Arusha,Arusha District Council 
Arusha,Karatu District Council 
Arusha,Longido District Council 
Arusha,Monduli District Council 
Arusha,Ngorongoro District Council 
Dar es Salaam,Ilala Municipal Council 
Dar es Salaam,Kinondoni Municipal Council 
Dar es Salaam,Temeke Municipal Council 
Dodoma,Bahi District Council 
Dodoma,Chamwino District Council 
Dodoma,Chemba District Council 
Dodoma,Dodoma Municipal Council 
Dodoma,Kondoa District Council 
Dodoma,Kongwa District Council 
Dodoma,Mpwapwa District Council 
Geita,Bukombe District Council 
Geita,Chato District Council 
Geita,Geita Town Council & Geita District Council 
Geita,Mbongwe District Council 
Geita,Nyang'hwale District Council 
Iringa,Iringa District Council 
Iringa,Iringa Municipal Council 
Iringa,Kilolo District Council 
Iringa,Mafinga Town Council 
Iringa,Mufindi District Council 
Kagera,Biharamulo District Council 
Kagera,Bukoba District Council 
Kagera,Bukoba Municipal Council 
Kagera,Karagwe District Council 
Kagera,Kyerwa District Council 
Kagera,Missenyi District Council 
Kagera,Muleba District Council 
Kagera,Ngara District Council 
Kaskazini Pemba of Zanzibar,Micheweni District 
Kaskazini Pemba of Zanzibar,Wete District 
Kaskazini Unguja of Zanzibar,Kaskazini A District 
Kaskazini Unguja of Zanzibar,Kaskazini B District 
Katavi,Mlele District Council 
Katavi,Mpanda District Council 
Katavi,Mpanda Town Council 
Kigoma,Buhigwe District Council 
Kigoma,Kakonko District Council 
Kigoma,Kasulu District Council 
Kigoma,Kasulu Town Council 
Kigoma,Kibondo District Council 
Kigoma,Kigoma District Council 
Kigoma,Kigoma-Ujiji Municipal Council 
Kigoma,Uvinza District Council 
Kilimanjaro,Hai District Council 
Kilimanjaro,Moshi District Council 
Kilimanjaro,Moshi Municipal Council 
Kilimanjaro,Mwanga District Council 
Kilimanjaro,Rombo District Council 
Kilimanjaro,Same District Council 
Kilimanjaro,Siha District Council 
Kusini Pemba of Zanzibar,Chake Chake District 
Kusini Pemba of Zanzibar,Mkoani District 
Kusini Unguja of Zanzibar,Kati District 
Kusini Unguja of Zanzibar,Kusini District 
Lindi,Kilwa District Council 
Lindi,Lindi District Council 
Lindi,Lindi Municipal Council 
Lindi,Liwale District Council 
Lindi,Nachingwea District Council 
Lindi,Ruangwa District Council 
Manyara,Babati Town Council 
Manyara,Babati District Council 
Manyara,Hanang District Council 
Manyara,Kiteto District Council 
Manyara,Mbulu District Council 
Manyara,Simanjiro District Council 
Mara,Bunda District Council 
Mara,Butiama District Council 
Mara,Musoma District Council 
Mara,Musoma Municipal Council 
Mara,Rorya District Council 
Mara,Serengeti District Council 
Mara,Tarime District Council 
Mbeya,Chunya District Council 
Mbeya,Ileje District Council 
Mbeya,Kyela District Council 
Mbeya,Mbarali District Council 
Mbeya,Mbeya City Council 
Mbeya,Mbeya District Council 
Mbeya,Mbozi District Council 
Mbeya,Momba District Council 
Mbeya,Rungwe District Council 
Mbeya,Tunduma Town Council 
Mjini Magharibi of Zanzibar,Magharibi District 
Mjini Magharibi of Zanzibar,Mjini District 
Morogoro,Gairo District Council 
Morogoro,Kilombero District Council 
Morogoro,Kilosa District Council 
Morogoro,Morogoro District Council 
Morogoro,Morogoro Municipal Council 
Morogoro,Mvomero District Council 
Morogoro,Ulanga District Council 
Mtwara,Masasi District Council 
Mtwara,Masasi Town Council 
Mtwara,Mtwara District Council 
Mtwara,Mtwara Municipal Council 
Mtwara,Nanyumbu District Council 
Mtwara,Newala District Council 
Mtwara,Tandahimba District Council 
Mwanza,Ilemela Municipal Council 
Mwanza,Kwimba District Council 
Mwanza,Magu District Council 
Mwanza,Misungwi District Council 
Mwanza,Nyamagana Municipal Council 
Mwanza,Sengerema District Council 
Mwanza,Ukerewe District Council 
Njombe,Ludewa District Council 
Njombe,Makambako Town Council 
Njombe,Makete District Council 
Njombe,Njombe District Council 
Njombe,Njombe Town Council 
Njombe,Wanging'ombe District Council 
Pwani,Bagamoyo District Council 
Pwani,Kibaha District Council 
Pwani,Kibaha Town Council 
Pwani,Kisarawe District Council 
Pwani,Mafia District Council 
Pwani,Mkuranga District Council 
Pwani,Rufiji District Council 
Rukwa,Kalambo District Council 
Rukwa,Nkasi District Council 
Rukwa,Sumbawanga District Council 
Rukwa,Sumbawanga Municipal Council 
Ruvuma,Mbinga District Council 
Ruvuma,Songea District Council 
Ruvuma,Songea Municipal Council 
Ruvuma,Tunduru District Council 
Ruvuma,Namtumbo District Council 
Ruvuma,Nyasa District Council 
Shinyanga,Kahama Town Council 
Shinyanga,Kahama District Council 
Shinyanga,Kishapu District Council 
Shinyanga,Shinyanga District Council 
Shinyanga,Shinyanga Municipal Council 
Simiyu,Bariadi District Council 
Simiyu,Busega District Council 
Simiyu,Itilima District Council 
Simiyu,Maswa District Council 
Simiyu,Meatu District Council 
Singida,Ikungi District Council 
Singida,Iramba District Council 
Singida,Manyoni District Council 
Singida,Mkalama District Council 
Singida,Singida District Council 
Singida,Singida Municipal Council 
Tabora,Igunga District Council 
Tabora,Kaliua District Council 
Tabora,Nzega District Council 
Tabora,Sikonge District Council 
Tabora,Tabora Municipal Council 
Tabora,Urambo District Council 
Tabora,Uyui District Council 
Tanga,Handeni District Council 
Tanga,Handeni Town Council 
Tanga,Kilindi District Council 
Tanga,Korogwe Town Council 
Tanga,Korogwe District Council 
Tanga,Lushoto District Council 
Tanga,Muheza District Council 
Tanga,Mkinga District Council 
Tanga,Pangani District Council 
Tanga,Tanga City Council 
